Word After Lemmatization,Parts of Speech Tag,Filtered Stop Words
training,VBG,trainings
year,NN,year
enjoyed,VBN,enjoyed
got,VBD,got
good,JJ,good
feedback,NN,feedback
I,PRP,I
prepared,VBD,prepared
course,NN,course
activity,NN,activities
game,NN,games
work,NN,work
idea,NN,ideas
Physical,NNP,Physical
activity,NN,activities
like,IN,like
penny,NN,penny
game,NN,game
translate,JJ,translate
remote,NN,remote
activity,NN,activity
I,PRP,I
like,VBP,like
try,VB,try
Collaborate,NNP,Collaborate
tool,NN,tool
I,PRP,I
appreciate,VBP,appreciate
everything,NN,everything
exercise,NN,exercises
already,RB,already
created,VBD,created
The,DT,The
self,JJ,self
assessment,NN,assessments
I,PRP,I
learner,VBP,learners
context,JJ,context
lesson,NN,lesson
reflect,VBP,reflect
redo,VBN,redo
day,NN,day
later,RBR,later
see,VBP,see
feel,VB,feel
know,JJ,know
accurate,NN,accurate
self,PRP,self
assessment,JJ,assessment
Organize,NNP,Organize
breakout,NN,breakouts
make,VBP,make
differents,NNS,differents
virtual,JJ,virtual
team,NN,teams
working,VBG,working
together,RB,together
PI,NNP,PI
planning,VBG,planning
simulation,NN,simulation
Training,NNP,Training
kanban,NN,kanban
ice,NN,ice
breaker,NN,breaker
Not,RB,Not
sure,JJ,sure
question,NN,question
asking,VBG,asking
specifically,RB,specifically
I,PRP,I
excited,VBD,excited
setup,JJ,setup
board,NN,boards
activity,NN,activities
class,NN,class
hoping,VBG,hoping
provides,VBZ,provides
benefit,NN,benefit
getting,VBG,getting
everyone,NN,everyone
common,JJ,common
platform,NN,platform
collaborate,NN,collaborate
breakout,IN,breakout
room,NN,rooms
interesting,VBG,interesting
see,JJ,see
people,NNS,people
interact,VBP,interact
exercise,JJ,exercises
Batch,NNP,Batch
size,NN,sizes
Batch,NNP,Batch
Sizes,NNP,Sizes
Remote,NNP,Remote
penny,NN,penny
game,NN,game
worked,VBD,worked
great,JJ,great
Better,NNP,Better
FTF,NNP,FTF
Also,RB,Also
serial,JJ,serial
v,NN,vs
parallel,JJ,parallel
delivery,NN,delivery
better,RBR,better
remote,NN,remote
activity,NN,activity
Collaborate,NNP,Collaborate
SAFe,NNP,SAFe
Collaborate,NNP,Collaborate
Definitely,NNP,Definitely
PI,NNP,PI
Planning,NNP,Planning
Simulation,NNP,Simulation
It,PRP,It
provides,VBZ,provides
great,JJ,great
guidance,NN,guidance
group,NN,groups
get,VB,get
see,VB,see
everything,NN,everything
come,VB,comes
together,RB,together
The,DT,The
remote,JJ,remote
PI,NNP,PI
Planning,NNP,Planning
tool,NN,tool
You,PRP,You
laugh,IN,laugh
saw,NN,saw
cobbled,VBN,cobbled
together,RB,together
Not,RB,Not
optimal,JJ,optimal
Such,JJ,Such
ease,NN,ease
use,NN,use
w,VBD,w
convince,NN,convince
company,NN,company
allow,VBP,allow
security,NN,security
probably,RB,probably
allow,IN,allow
Teaching,VBG,Teaching
Leading,VBG,Leading
SAFe,NNP,SAFe
remotely,RB,remotely
using,VBG,using
Collaborate,NNP,Collaborate
ice,NN,ice
breaker,NN,breaker
exercise,NN,exercise
batch,NN,batch
size,NN,size
visualize,NN,visualize
flow,NN,flow
work,NN,works
Batch,NNP,Batch
size,NN,size
simulation,NN,simulation
penny,NN,penny
game,NN,game
safe,JJ,safe
collaborate,NN,collaborate
Collaborate,NNP,Collaborate
Penny,NNP,Penny
simulation,NN,simulation
since,IN,since
real,JJ,real
eye,NN,eye
opener,NN,opener
people,NNS,people
understand,VBP,understand
impact,VB,impact
small,JJ,small
batch,NN,batches
PI,NNP,PI
PLanning,NNP,PLanning
simulation,NN,simulation
I,PRP,I
excited,VBD,excited
try,NN,try
Marketing,NNP,Marketing
course,NN,course
Scrum,NNP,Scrum
Responsibilities,NNP,Responsibilities
clear,JJ,clear
visual,JJ,visual
depiction,NN,depiction
match,NN,match
role,NN,roles
responsibility,NN,responsibilities
easy,JJ,easy
discus,NN,discuss
I,PRP,I
think,VBP,think
PI,NNP,PI
Planning,NNP,Planning
simulation,NN,simulation
valuable,JJ,valuable
give,JJ,gives
tangible,JJ,tangible
thing,NN,things
might,MD,might
carry,VB,carry
real,JJ,real
remote,JJ,remote
pi,NN,pi
planning,VBG,planning
The,DT,The
Penny,NNP,Penny
game,NN,game
It,PRP,It
classic,VBZ,classic
really,RB,really
exemplifies,NNS,exemplifies
small,JJ,small
batch,NN,batches
go,VBP,go
system,NN,system
quicker,NN,quicker
I,PRP,I
think,VBP,think
help,JJ,help
interactivity,NN,interactivity
session,NN,session
allow,IN,allow
people,NNS,people
feel,VBP,feel
part,NN,part
virtual,JJ,virtual
team,NN,teams
used,VBN,used
throughout,IN,throughout
course,NN,course
Remote,NNP,Remote
collaboration,NN,collaboration
tool,NN,tools
PI,NNP,PI
Planning,NNP,Planning
reflects,VBZ,reflects
I,PRP,I
two,CD,two
year,NN,years
activity,NN,activities
I,PRP,I
understand,VBP,understand
help,NN,helps
disseminate,NN,disseminate
share,NN,share
knowledge,NNP,knowledge
board,NN,boards
I,PRP,I
already,RB,already
done,VBN,done
SSM,NNP,SSM
remote,VBP,remote
July,NNP,July
found,VBD,found
template,RB,templates
incredible,JJ,incredible
low,JJ,low
tech,NN,tech
hi,NN,hi
value,NN,value
I,PRP,I
looking,VBG,looking
forward,RB,forward
tweeking,VBG,tweeking
coin,NN,coin
game,NN,game
liking,VBG,liking
seeing,VBG,seeing
work,NN,works
worry,NN,worry
I,PRP,I
trying,VBG,trying
tweek,JJ,tweek
premise,NN,premises
speak,NN,speak
hahaha,NN,hahaha
I,PRP,I
also,RB,also
hoping,VBG,hoping
improve,VB,improve
PI,NNP,PI
planning,VBG,planning
simulation,NN,simulation
I,PRP,I
got,VBD,got
excellent,JJ,excellent
feedback,NN,feedback
last,JJ,last
Using,NNP,Using
icebreaker,NN,icebreaker
parking,NN,parking
lot,NN,lot
think,VBP,think
people,NNS,people
engaged,VBD,engaged
provide,RB,provide
input,JJ,input
PI,NNP,PI
Planning,NNP,Planning
Simulation,NNP,Simulation
