Word After Lemmatization,Parts of Speech Tag,Filtered Stop Words
asking,VBG,asking
provide,NN,provide
relevant,JJ,relevant
context,NN,context
telling,VBG,telling
story,NN,stories
exemplify,FW,exemplify
theory,JJ,theories
Leverage,NNP,Leverage
idea,NN,idea
student,NN,students
play,VB,play
back,RB,back
learned,JJ,learned
One,CD,One
thing,NN,thing
taken,VBN,taken
remote,JJ,remote
training,NN,training
ice,NN,ice
breaker,NN,breakers
game,NN,games
aid,NN,aid
learning,VBG,learning
Ice,NNP,Ice
breaker,NN,breakers
I,PRP,I
would,MD,would
like,VB,like
create,VB,create
contact,JJ,contact
engagement,JJ,engagement
interaction,NN,interaction
participant,NN,participants
making,VBG,making
group,NN,groups
different,JJ,different
exercise,NN,exercises
differently,RB,differently
fun,VBZ,fun
energy,NN,energy
big,JJ,big
sticky,JJ,sticky
poster,NN,posters
around,IN,around
office,NN,office
Parking,NNP,Parking
lot,NN,lot
Kansan,NNP,Kansan
progress,NN,progress
board,NN,board
quiz,NN,quiz
Able,NNP,Able
draw,NN,draw
conversation,NN,conversation
aide,NN,aides
needed,VBD,needed
make,JJ,make
sure,JJ,sure
everyone,NN,everyone
understands,VBZ,understands
concept,JJ,concept
nan,JJ,nan
custom,NN,custom
exercies,NNS,exercies
Ice,NNP,Ice
breaker,NN,breakers
Dance,NNP,Dance
Breaks,NNP,Breaks
Use,NNP,Use
probing,VBG,probing
question,NN,questions
ask,NN,ask
specific,JJ,specific
people,NNS,people
answer,VBP,answer
keep,VB,keep
alive,JJ,alive
Having,NNP,Having
physical,JJ,physical
display,NN,display
SAFe,NNP,SAFe
big,JJ,big
picture,NN,picture
reference,NN,reference
video,NN,video
stream,NN,stream
well,RB,well
SAFe,NNP,SAFe
Agile,NNP,Agile
Principles,NNP,Principles
Engaging,NNP,Engaging
student,NN,students
regularly,RB,regularly
make,VBP,make
course,NN,course
fun,NN,fun
increase,NN,increase
retention,NN,retention
Interactive,NNP,Interactive
The,DT,The
use,NN,use
tone,NN,tone
voice,NN,voice
movement,NN,movement
closer,JJR,closer
person,NN,person
connect,VBP,connect
laugh,IN,laugh
make,VBP,make
positive,JJ,positive
joke,NN,jokes
go,VBP,go
dinner,NN,dinner
together,RB,together
get,VB,get
touch,JJ,touch
class,NN,class
personal,JJ,personal
level,NN,level
try,VBP,try
virtual,JJ,virtual
work,NN,work
beer,NN,beer
wine,NN,wine
work,NN,works
great,JJ,great
Ice,NNP,Ice
breaking,NN,breaking
activity,NN,activities
virtual,JJ,virtual
classroom,NN,classrooms
deliver,IN,deliver
value,NN,value
class,NN,class
As,NNP,As
well,RB,well
establishing,VBG,establishing
working,VBG,working
agreement,NN,agreements
Collaboration,NNP,Collaboration
student,NN,students
Talking,VBG,Talking
real,JJ,real
world,NN,world
example,NN,examples
Share,NNP,Share
story,NN,stories
experience,NN,experiences
using,VBG,using
SAFe,NNP,SAFe
I,PRP,I
also,RB,also
bring,VBP,bring
chocolate,JJ,chocolate
person,NN,person
class,NN,classes
I,PRP,I
figure,VBP,figure
transfer,VBP,transfer
virtual,JJ,virtual
environment,NN,environment
Make,NNP,Make
people,NNS,people
participate,VB,participate
talk,NN,talk
ice,NN,ice
breaker,NN,breaker
exercise,NN,exercises
collective,JJ,collective
debrief,NN,debrief
time,NN,time
Have,VBP,Have
people,NNS,people
continue,VBP,continue
engaged,VBN,engaged
ask,JJ,ask
question,NN,questions
add,VB,add
discussion,NN,discussions
put,VBN,put
question,NN,questions
wall,NN,wall
chart,NN,charts
Preview,NNP,Preview
get,NN,get
know,JJ,know
student,NN,students
activity,NN,activity
practice,NN,practice
using,VBG,using
workbook,WDT,workbooks
give,JJ,give
page,NN,page
number,NN,numbers
workbook,NN,workbooks
activites,VBZ,activites
Working,VBG,Working
agreement,NN,agreements
Ask,NNP,Ask
student,NN,students
important,JJ,important
respect,NN,respect
timeboxes,IN,timeboxes
The,DT,The
engagement,JJ,engagement
Ensure,NNP,Ensure
interaction,NN,interaction
student,NN,students
also,RB,also
instructor,JJ,instructor
student,NN,students
Engagement,NNP,Engagement
using,VBG,using
experience,NN,experience
visuals,NNS,visuals
flip,VBP,flip
chart,JJ,chart
reflect,NN,reflect
understanding,VBG,understanding
topic,NN,topics
able,JJ,able
demonstrate,NN,demonstrate
point,NN,point
using,VBG,using
drawing,VBG,drawings
Keeping,VBG,Keeping
mood,NN,mood
light,NN,light
friendly,RB,friendly
Keeping,NNP,Keeping
flow,JJ,flow
idea,NN,ideas
instead,RB,instead
barking,VBG,barking
lesson,JJ,lessons
people,NNS,people
fun,VBP,fun
fact,NN,facts
submitted,VBN,submitted
participant,JJ,participant
student,NN,students
guess,NN,guess
person,NN,person
physical,JJ,physical
stand,NN,stand
ups,NNS,ups
walk,VBP,walk
arounds,VBZ,arounds
refresh,JJ,refresh
colleague,NN,colleagues
Using,NNP,Using
poster,NN,posters
explain,VBP,explain
Agile,NNP,Agile
Manifesto,NNP,Manifesto
House,NNP,House
Lean,NNP,Lean
SAFe,NNP,SAFe
Principles,NNP,Principles
ice,NN,ice
breaker,NN,breakers
Moving,VBG,Moving
around,RB,around
On,IN,On
demand,NN,demand
coffee,NN,coffee
break,JJ,breaks
Meet,NNP,Meet
Greet,NNP,Greet
get,VB,get
know,JJ,know
specific,JJ,specifics
regarding,VBG,regarding
person,NN,person
whiteboarding,VBG,whiteboarding
working,VBG,working
agreement,NN,agreements
Build,NNP,Build
engagement,NN,engagement
asking,VBG,asking
student,NN,students
ask,JJ,ask
question,NN,questions
pausing,VBG,pausing
give,JJ,give
space,NN,space
answer,NN,answer
Utilization,NNP,Utilization
whiteboard,RB,whiteboard
visual,JJ,visual
radiator,NN,radiators
big,JJ,big
picture,NN,picture
poster,NN,posters
Sense,NNP,Sense
humour,NN,humour
fun,NN,fun
together,RB,together
sugar,NN,sugar
get,NN,get
Use,NNP,Use
parking,NN,parking
lot,NN,lot
note,VBP,notes
line,NN,line
document,NN,document
question,NN,questions
clarification,NN,clarifications
sharing,VBG,sharing
artifact,JJ,artifacts
process,NN,processes
developed,VBD,developed
practice,NN,practice
moving,VBG,moving
around,IN,around
pRKINGLOT,NN,pRKINGLOT
I,PRP,I
generally,RB,generally
let,VBP,let
participant,JJ,participants
table,JJ,tables
charge,NN,charge
facilitation,NN,facilitation
assigned,VBN,assigned
team,JJ,team
lead,NN,leads
rotate,NN,rotate
every,DT,every
body,NN,body
try,VB,tries
disciplin,JJ,disciplin
facilitation,NN,facilitation
I,PRP,I
virtual,JJ,virtual
Class,NN,Class
Agreements,NNP,Agreements
Scheduled,NNP,Scheduled
break,NN,breaks
parking,NN,parking
lot,NN,lot
I,PRP,I
would,MD,would
like,VB,like
best,JJS,best
ability,NN,ability
create,VBP,create
person,NN,person
feel,VB,feel
much,RB,much
possible,JJ,possible
Having,VBG,Having
breakout,NN,breakout
room,NN,rooms
example,NN,example
fun,NN,fun
keep,VB,keep
class,NN,class
interactive,JJ,interactive
possible,JJ,possible
introductory,NN,introductory
session,NN,session
Draw,NNP,Draw
whiteboard,NN,whiteboard
Workshop,NNP,Workshop
parking,NN,parking
lot,NN,lot
parking,VBG,parking
slot,NN,slot
Standing,VBG,Standing
moving,VBG,moving
around,RB,around
allow,VB,allow
attendee,NN,attendees
Serve,NNP,Serve
coffee,NN,coffee
GAMES,NNP,GAMES
Tell,NNP,Tell
war,NN,war
story,NN,stories
Using,NNP,Using
class,NN,class
Kanban,NNP,Kanban
roadmap,NN,roadmap
class,NN,class
lesson,NN,lessons
engage,VB,engage
student,NN,students
Ask,NNP,Ask
question,NN,questions
try,NN,try
get,VB,get
feedback,JJ,feedback
Start,NNP,Start
end,NN,end
day,NN,day
check,VB,check
in,IN,ins
closing,NN,closing
session,NN,session
follow,VBP,follow
ups,NNS,ups
team,VBP,team
exercise,NN,exercises
like,IN,like
tossing,VBG,tossing
ball,NN,balls
around,IN,around
Give,NNP,Give
floor,NN,floor
student,NN,students
ask,JJ,ask
question,NN,questions
Allow,NNP,Allow
student,NN,students
move,NN,move
around,IN,around
Trainer,NNP,Trainer
comfortable,JJ,comfortable
stand,VBP,stand
deliver,JJ,deliver
class,NN,class
would,MD,would
done,VBN,done
person,NN,person
class,NN,class
room,NN,room
training,NN,training
Use,NNP,Use
Flip,NNP,Flip
chart,NN,charts
write,NN,write
explain,NN,explain
would,MD,would
definitely,RB,definitely
motivate,VB,motivate
student,NN,students
ease,NN,ease
understand,NN,understand
concept,VBD,concepts
board,NN,boards
I,PRP,I
use,VBP,use
write,JJ,write
show,NN,show
camera,NN,camera
I,PRP,I
write,VBP,write
Talk,NN,Talk
hand,NN,hands
Where,NNP,Where
fav,NN,fav
food,NN,food
intro,NN,intro
icebreaker,NN,icebreaker
Get,NNP,Get
conversation,NN,conversations
going,VBG,going
regularly,RB,regularly
Right,NNP,Right
lot,NN,lot
q,VBD,q
A,DT,A
banter,NN,banter
like,IN,like
ice,NN,ice
breaker,NN,breakers
Be,NNP,Be
I,PRP,I
lot,VBP,lots
energy,NN,energy
keep,VB,keep
delivering,VBG,delivering
training,VBG,training
Small,NNP,Small
group,NN,group
discussion,NN,discussions
teachback,RB,teachback
active,JJ,active
Q,NNP,Q
A,NNP,A
participation,NN,participation
teach,NN,teach
back,RB,back
session,NN,sessions
help,NN,help
embed,VBD,embed
knowledge,NN,knowledge
trainer,NN,trainer
delegate,NN,delegates
ensure,VB,ensure
get,NN,get
know,VB,know
everyone,NN,everyone
class,NN,class
invest,VBP,invest
interest,NN,interest
student,NN,student
enagagement,NN,enagagement
feedbacking,VBG,feedbacking
real,JJ,real
time,NN,time
Explain,NNP,Explain
detail,NN,details
activity,NN,activity
Ensure,NNP,Ensure
participates,VBZ,participates
active,JJ,active
share,NN,share
experience,NN,experiences
joke,VBD,jokes
Make,NNP,Make
exercise,NN,exercises
interactive,NN,interactive
I,PRP,I
like,VBP,like
understand,JJ,understand
person,NN,person
goal,NN,goal
participant,JJ,participant
class,NN,class
I,PRP,I
like,VBP,like
make,VBP,make
sure,JJ,sure
I,PRP,I
remember,VBP,remember
name,JJ,names
person,NN,person
class,NN,class
evenly,RB,evenly
call,JJ,call
individual,JJ,individual
provide,NN,provide
feedback,NN,feedback
I,PRP,I
would,MD,would
always,RB,always
ask,VB,ask
feedback,NN,feedback
exercise,NN,exercise
ideally,RB,ideally
I,PRP,I
would,MD,would
like,VB,like
hear,JJ,hear
team,NN,team
Breakouts,NNP,Breakouts
debriefs,NN,debriefs
dropping,VBG,dropping
breakout,RP,breakouts
make,VBP,make
sure,JJ,sure
thing,NN,things
track,NN,track
learning,VBG,learning
objective,JJ,objectives
One,CD,One
thing,NN,things
carried,VBD,carried
ensuring,VBG,ensuring
parking,NN,parking
lot,NN,lot
cover,NN,cover
everything,NN,everything
close,JJ,close
kanban,JJ,kanban
poster,NN,posters
whiteboard,NN,whiteboard
Engage,NNP,Engage
student,NN,students
Engaging,NNP,Engaging
student,NN,students
humor,NN,humor
story,NN,stories
Build,NNP,Build
bond,NN,bonds
attendee,NN,attendees
Connect,NNP,Connect
student,NN,students
personally,RB,personally
trainin,JJ,trainin
drawing,VBG,drawing
timer,NN,timer
interaction,NN,interaction
Quizzes,NNP,Quizzes
fun,NN,fun
reminder,NN,reminders
thing,NN,things
SAFe,NNP,SAFe
principle,NN,principles
owns,VBZ,owns
level,NN,level
Engaging,NNP,Engaging
student,NN,students
variety,NN,variety
different,JJ,different
way,NN,ways
Setting,VBG,Setting
team,NN,team
agreement,NN,agreements
list,NN,list
recommended,VBD,recommended
course,NN,course
related,VBN,related
book,NN,books
resource,NN,resources
Miro,NNP,Miro
board,NN,board
I,PRP,I
set,VBP,set
section,NN,section
lesson,JJ,lesson
question,NN,question
answered,VBD,answered
I,PRP,I
also,RB,also
bring,VBP,bring
use,NN,use
SAFe,NNP,SAFe
poster,NN,posters
use,NN,use
Zoom,NNP,Zoom
background,NN,backgrounds
ice,NN,ice
breaker,NN,breakers
establish,VB,establish
working,VBG,working
agreement,NN,agreements
establish,VB,establish
parking,NN,parking
lot,NN,lot
Check,NNP,Check
understanding,VBG,understanding
Discussion,NNP,Discussion
class,NN,class
engagement,NN,engagement
share,NN,share
story,NN,stories
facilitate,NN,facilitate
understanding,VBG,understanding
concept,NN,concepts
rather,RB,rather
memorization,NN,memorization
ask,VB,ask
leading,VBG,leading
question,NN,questions
allow,JJ,allow
student,NN,students
teach,NN,teach
back,RB,back
Using,NNP,Using
ice,NN,ice
breaker,NN,breakers
start,VBP,start
day,NN,day
encourage,VB,encourage
engagement,NN,engagement
learn,JJ,learn
little,JJ,little
fellow,JJ,fellow
student,NN,students
Icebrakers,NNP,Icebrakers
group,NN,group
exercise,NN,exercises
engage,NN,engage
example,NN,example
real,JJ,real
life,NN,life
promote,NN,promote
group,NN,group
participation,NN,participation
Set,NNP,Set
expectation,NN,expectations
class,NN,class
learning,VBG,learning
length,JJ,length
Start,NNP,Start
question,NN,question
motivates,NNS,motivates
Simulations,NNP,Simulations
exercise,VBP,exercises
Questions,NNP,Questions
Answer,NNP,Answer
session,NN,session
learner,NN,learners
Have,VBP,Have
pause,VBN,pauses
communication,NN,communication
let,NN,let
people,NNS,people
think,VBP,think
answer,JJR,answer
question,NN,questions
Ask,NNP,Ask
question,NN,questions
repeat,NN,repeat
teached,VBD,teached
121,CD,121
chat,NN,chats
learner,NN,learners
Ice,NNP,Ice
breaker,NN,breaker
exercise,NN,exercises
breakout,NN,breakout
group,NN,groups
exercise,NN,exercises
dropping,VBG,dropping
hear,JJ,hear
progress,NN,progress
breakout,IN,breakout
room,NN,rooms
fun,NN,fun
learning,VBG,learning
expectation,NN,expectations
QA,NNP,QA
etc,FW,etc
Make,NNP,Make
personal,JJ,personal
connection,NN,connection
people,NNS,people
feel,VBP,feel
comfortable,JJ,comfortable
asking,VBG,asking
question,NN,questions
class,NN,class
Take,NNP,Take
game,NN,games
worm,NN,worm
get,NN,get
know,VBP,know
retro,NN,retro
technique,NN,techniques
Seating,NNP,Seating
chart,NN,chart
ensure,VB,ensure
good,JJ,good
mix,NN,mix
people,NNS,people
Engage,NNP,Engage
participant,JJ,participants
individual,JJ,individual
level,NN,level
Have,VBP,Have
discussion,NN,discussions
break,NN,break
class,NN,class
peer,NN,peer
discussion,NN,discussions
Go,NNP,Go
around,IN,around
virtual,JJ,virtual
room,NN,rooms
Watch,NNP,Watch
student,NN,students
face,NN,faces
small,JJ,small
activity,NN,activities
workbook,NN,workbook
collect,VBP,collect
action,NN,actions
post,NN,post
class,NN,class
making,VBG,making
gift,NN,gifts
I,PRP,I
ensure,VB,ensure
activity,NN,activities
completed,VBN,completed
taking,VBG,taking
feedback,NN,feedback
parking,NN,parking
lot,NN,lot
etc,FW,etc
Humor,NNP,Humor
refer,VBP,refer
SAFe,NNP,SAFe
framework,NN,framework
lesson,NN,lesson
context,JJ,context
humor,NN,humor
create,NN,create
curiosity,NN,curiosity
collaboration,NN,collaboration
table,NN,tables
Flip,NNP,Flip
chart,NN,charts
ice,NN,ice
breaker,NN,breakers
activity,NN,activities
structure,NN,structure
fun,NN,fun
Make,NNP,Make
sure,JJ,sure
everyone,NN,everyone
understand,JJ,understand
make,VB,make
sure,JJ,sure
everyone,NN,everyone
involved,VBN,involved
Breakouts,NNP,Breakouts
student,NN,students
learn,VBP,learn
one,CD,one
aspect,NN,aspect
concept,NN,concept
really,RB,really
well,RB,well
including,VBG,including
producing,VBG,producing
visualization,NN,visualization
using,VBG,using
debrief,JJ,debrief
teach,NN,teach
rest,NN,rest
class,NN,class
Then,RB,Then
I,PRP,I
use,VBP,use
question,JJ,questions
draw,NN,draw
detail,NN,details
necessary,JJ,necessary
I,PRP,I
make,VBP,make
Live,JJ,Live
dictionary,JJ,dictionary
people,NNS,people
raise,VBP,raise
hand,NN,hand
word,NN,word
acronym,NN,acronym
understand,VBP,understand
Interactivity,NNP,Interactivity
dynamism,NN,dynamism
among,IN,among
participant,JJ,participants
Fun,NNP,Fun
easiness,NN,easiness
engagement,NN,engagement
interaction,NN,interaction
Ice,NNP,Ice
breaker,NN,breakers
drawing,VBG,drawing
tool,JJ,tools
break,NN,break
room,NN,rooms
Engagement,NNP,Engagement
Laugh,NNP,Laugh
joke,VBD,joke
student,NN,students
using,VBG,using
Flipchart,NNP,Flipchart
PostIts,NNP,PostIts
Carry,NNP,Carry
passion,NN,passion
sharing,VBG,sharing
experience,NN,experiences
real,JJ,real
life,NN,life
Engage,NNP,Engage
student,NN,students
walking,VBG,walking
around,RP,around
room,NN,room
get,NN,get
move,NN,move
also,RB,also
Room,NNP,Room
agreement,NN,agreements
walking,VBG,walking
among,IN,among
different,JJ,different
team,NN,teams
groupwork,NN,groupwork
occurs,VBZ,occurs
question,NN,questions
content,NN,content
Create,NNP,Create
interactive,JJ,interactive
environment,NN,environment
student,NN,students
ask,NN,ask
question,NN,questions
personal,JJ,personal
note,NN,notes
drawing,VBG,drawing
explaining,VBG,explaining
question,NN,questions
show,NN,show
link,VBP,links
safe,JJ,safe
webpage,NN,webpage
Small,NNP,Small
team,NN,team
exercice,NN,exercice
fun,NN,fun
meme,NN,meme
maybe,RB,maybe
joke,VBD,joke
two,CD,two
lighten,JJ,lighten
people,NNS,people
get,VBP,get
engaged,VBN,engaged
Moving,NNP,Moving
sketching,VBG,sketching
My,PRP$,My
passion,NN,passion
way,NN,way
material,JJ,material
really,RB,really
change,VBP,change
company,NN,company
celebrate,NN,celebrate
share,NN,share
learning,VBG,learning
pairing,VBG,pairing
discussion,NN,discussion
group,NN,groups
Ask,NNP,Ask
student,NN,students
teach,NN,teach
back,RB,back
fokus,JJ,fokus
eye,NN,eye
contact,NN,contact
Take,NNP,Take
logical,JJ,logical
pause,NN,pauses
allow,JJ,allow
student,NN,students
ask,IN,ask
question,NN,questions
I,PRP,I
student,VBP,students
get,VB,get
know,JJ,know
ice,NN,ice
breaker,NN,breaker
That,WDT,That
definitely,RB,definitely
still,RB,still
possible,JJ,possible
remote,NN,remote
teaching,VBG,teaching
The,DT,The
importance,NN,importance
Working,NNP,Working
Agreement,NNP,Agreement
especially,RB,especially
need,VBP,need
facilitator,JJ,facilitators
present,JJ,present
active,JJ,active
training,NN,training
Mix,NNP,Mix
engage,NN,engage
learner,NN,learners
stand,VBP,stand
clear,JJ,clear
instruction,NN,instructions
real,JJ,real
learner,NN,learners
Welcomes,NNP,Welcomes
introduction,NN,introductions
I,PRP,I
like,VBP,like
play,VB,play
live,JJ,live
quiz,NN,quizzes
using,VBG,using
Kahoot,NNP,Kahoot
live,JJ,live
classroom,NN,classroom
something,NN,something
I,PRP,I
like,VBP,like
carry,JJ,carry
Students,NNS,Students
like,IN,like
little,JJ,little
bit,NN,bit
light,JJ,light
hearted,VBN,hearted
competition,NN,competition
review,NN,review
Make,NNP,Make
sure,JJ,sure
people,NNS,people
engaged,VBD,engaged
person,NN,person
The,DT,The
question,NN,question
answer,NN,answer
method,NN,method
enable,JJ,enable
learning,VBG,learning
curiosity,NN,curiosity
show,NN,shows
shared,VBD,shared
understanding,JJ,understanding
Not,RB,Not
quite,RB,quite
sure,JJ,sure
I,PRP,I
move,VBP,move
around,IN,around
lot,NN,lot
I,PRP,I
ball,VBP,ball
energy,NN,energy
live,JJ,live
session,NN,sessions
much,RB,much
le,IN,less
online,NN,online
I,PRP,I
tied,VBD,tied
camera,NN,camera
laptop,NN,laptop
Get,NNP,Get
move,NN,move
around,RB,around
show,RB,show
different,JJ,different
wall,NN,wall
hanging,VBG,hangings
virtual,JJ,virtual
setting,NN,setting
Play,NNP,Play
music,NN,music
break,NN,breaks
pointing,VBG,pointing
Big,JJ,Big
Picture,NN,Picture
summarize,NN,summarize
covered,VBD,covered
look,JJR,look
next,JJ,next
For,IN,For
sure,JJ,sure
high,JJ,high
energy,NN,energy
fun,NN,fun
Music,NNP,Music
visible,JJ,visible
timer,JJ,timers
start,NN,start
break,NN,breaks
quiz,JJ,quiz
Engage,NNP,Engage
every,DT,every
student,NN,student
draw,VBZ,draw
deep,JJ,deep
thought,NN,thoughts
introvert,JJ,introverts
Physical,NNP,Physical
exercise,NN,exercises
using,VBG,using
sticky,JJ,sticky
note,NN,notes
brainstorm,NN,brainstorm
shared,VBN,shared
area,NN,areas
co,NN,co
create,NN,create
content,NN,content
Draw,NNP,Draw
flipboards,NNS,flipboards
Extensive,NNP,Extensive
use,NN,use
white,JJ,white
board,NN,board
Group,NNP,Group
exercise,VBZ,exercises
discussion,NN,discussions
stand,NN,stand
move,NN,move
SAFe,NNP,SAFe
Big,NNP,Big
Picture,NNP,Picture
whiteboard,VBD,whiteboard
flip,JJ,flip
chart,NN,charts
Parking,NNP,Parking
Lot,NNP,Lot
Explain,NNP,Explain
slide,NN,slides
concept,NN,concepts
using,VBG,using
whiteboard,JJ,whiteboard
drawing,VBG,drawing
pad,JJ,pad
even,RB,even
slide,VBP,slide
For,IN,For
person,NN,person
class,NN,classes
I,PRP,I
sometimes,RB,sometimes
done,VBN,done
bingo,JJ,bingo
card,NN,cards
key,JJ,key
term,NN,terms
I,PRP,I
like,VBP,like
carry,VBP,carry
online,JJ,online
learning,VBG,learning
small,JJ,small
prize,NNS,prizes
like,IN,like
e,NN,e
gift,NN,gift
card,NN,cards
Q,NNP,Q
A,NNP,A
session,NN,sessions
ask,NN,ask
delegate,JJ,delegates
question,NN,questions
Making,VBG,Making
one,CD,one
one,CD,one
contact,NN,contact
member,NN,member
throughout,IN,throughout
training,VBG,training
making,VBG,making
sure,JJ,sure
participant,JJ,participants
interactive,JJ,interactive
get,NN,get
involved,VBN,involved
activity,NN,activity
amongst,NN,amongst
Team,NNP,Team
well,RB,well
Flip,NNP,Flip
chart,NN,charts
I,PRP,I
flip,VBP,flip
chart,JJ,chart
office,NN,office
I,PRP,I
incorporate,VBP,incorporate
next,JJ,next
training,NN,training
inspired,JJ,inspired
course,NN,course
I,PRP,I
make,VBP,make
sure,JJ,sure
engage,NN,engage
attendee,NN,attendees
randomly,RB,randomly
select,JJ,select
response,NN,responses
e,NN,e
tossing,VBG,tossing
ball,NN,ball
call,NN,call
quiet,JJ,quiet
participant,NN,participants
I,PRP,I
also,RB,also
try,VBP,try
use,NN,use
lot,NN,lot
q,JJ,q
style,NN,style
teaching,VBG,teaching
topic,NN,topic
presented,VBD,presented
throught,JJ,throught
use,NN,use
perosnal,JJ,perosnal
experience,NN,experiences
introspective,JJ,introspective
thinking,NN,thinking
If,IN,If
possible,JJ,possible
attendee,NN,attendees
video,NN,video
provide,VBP,provide
small,JJ,small
introduction,NN,introduction
relatable,JJ,relatable
example,NN,examples
Telling,NNP,Telling
story,NN,stories
using,VBG,using
practice,NN,practices
within,IN,within
organization,NN,organization
Trading,NNP,Trading
facilitation,NN,facilitation
others,NNS,others
one,CD,one
person,NN,person
talking,VBG,talking
Encouraging,NNP,Encouraging
student,NN,students
ask,NN,ask
question,NN,questions
contribute,NN,contribute
thought,VBD,thoughts
experience,RB,experiences
Regular,JJ,Regular
break,NN,break
Simulation,NNP,Simulation
exercise,NN,exercise
Collecting,NNP,Collecting
feedback,NN,feedback
Use,NNP,Use
sticky,JJ,sticky
note,NN,notes
Debriefing,VBG,Debriefing
Bringing,NNP,Bringing
example,NN,examples
experience,NN,experience
student,NN,student
engagement,NN,engagement
Share,NNP,Share
personal,JJ,personal
experience,NN,experiences
Fun,NNP,Fun
interaction,NN,interaction
student,NN,students
I,PRP,I
use,VBP,use
whiteboard,JJ,whiteboard
lot,NN,lot
person,NN,person
training,VBG,training
would,MD,would
like,VB,like
still,RB,still
continue,VBP,continue
virtual,JJ,virtual
whiteboard,NN,whiteboard
Allow,NNP,Allow
time,NN,time
student,NN,students
reflect,VBP,reflect
material,JJ,material
discus,NN,discuss
peer,NN,peers
draw,JJ,draw
conclusion,NN,conclusions
learned,VBD,learned
Keep,NNP,Keep
interactive,NN,interactive
Have,NNP,Have
fun,NN,fun
learn,RB,learn
well,RB,well
activity,NN,activities
Center,NNP,Center
focus,NN,focus
I,PRP,I
explaining,VBG,explaining
need,VBP,need
able,JJ,able
really,RB,really
get,VB,get
attention,NN,attention
periodic,JJ,periodic
interval,JJ,intervals
Engagement,NNP,Engagement
classmate,NN,classmates
Interactives,NNS,Interactives
exercise,VBP,exercises
Excercises,NNS,Excercises
working,VBG,working
agreement,NN,agreements
waroking,VBG,waroking
small,JJ,small
gropu,NN,gropu
explain,NN,explain
technique,NN,technique
In,IN,In
addition,NN,addition
Course,NNP,Course
presentation,NN,presentation
hosting,VBG,hosting
activity,NN,activities
I,PRP,I
carry,VBP,carry
establishing,VBG,establishing
active,JJ,active
2,CD,2
way,NN,way
feedback,NN,feedback
Create,NNP,Create
atmosphere,RB,atmosphere
enrich,JJ,enrich
student,NN,student
curiosity,NN,curiosity
generating,VBG,generating
powerful,JJ,powerful
motivating,VBG,motivating
force,NN,force
learning,VBG,learning
This,DT,This
trigger,NN,trigger
active,JJ,active
participant,JJ,participant
engagement,NN,engagement
Visual,NNP,Visual
Course,NNP,Course
map,NN,map
parking,NN,parking
lot,NN,lot
session,NN,sessions
board,NN,board
Engaging,NNP,Engaging
conversaitons,NNS,conversaitons
sharing,VBG,sharing
lot,NN,lot
example,NN,examples
using,VBG,using
mix,JJ,mix
medium,NN,media
content,NN,content
video,NN,videos
quiz,NN,quiz
opne,JJ,opne
discussion,NN,discussions
ok,IN,ok
ice,NN,ice
breaker,NN,breaker
game,NN,games
sense,NN,sense
humor,NN,humor
exercise,NN,exercises
stand,VBP,stand
line,NN,line
room,NN,room
according,VBG,according
agile,JJ,agile
knowledge,NN,knowledge
knowledge,NN,knowledge
one,CD,one
end,NN,end
room,NN,room
skilled,VBD,skilled
side,RB,side
Listen,NNP,Listen
Q,NNP,Q
A,NNP,A
Fun,NNP,Fun
Kanban,NNP,Kanban
Agenda,NNP,Agenda
drawing,VBG,drawing
flipchart,RB,flipchart
Great,NNP,Great
engagement,JJ,engagement
introduction,NN,introduction
participant,NN,participants
connect,NN,connect
learner,RBR,learners
White,NNP,White
boarding,NN,boarding
shared,VBD,shared
parking,NN,parking
lot,NN,lot
Clarity,NNP,Clarity
instruction,NN,instructions
gola,NN,gola
purpose,JJ,purpose
outcome,NN,outcome
lesson,NN,lesson
repeat,NN,repeat
key,JJ,key
topic,NN,topics
use,NN,use
simple,JJ,simple
language,NN,language
non,RB,non
native,JJ,native
speaker,NN,speakers
allow,VBP,allow
10,CD,10
second,JJ,seconds
asking,VBG,asking
question,NN,questions
An,DT,An
ice,NN,ice
breaking,VBG,breaking
exercise,NN,exercise
Definitely,NNP,Definitely
standing,NN,standing
also,RB,also
continue,VBP,continue
sharing,VBG,sharing
practical,JJ,practical
experience,NN,experiences
focus,NN,focus
virtual,JJ,virtual
experience,NN,experiences
White,NNP,White
board,NN,board
working,VBG,working
agreement,NN,agreements
Addressing,VBG,Addressing
people,NNS,people
directly,RB,directly
keep,VBP,keep
flow,JJ,flow
course,NN,course
My,NNP,My
passion,NN,passion
teaching,VBG,teaching
Get,NNP,Get
know,JJ,know
people,NNS,people
individually,RB,individually
Break,NNP,Break
ice,NN,ice
fun,RB,fun
innocuous,JJ,innocuous
game,NN,game
start,NN,start
class,NN,class
Make,NNP,Make
material,NN,material
make,NN,make
sense,NN,sense
war,NN,war
story,NN,stories
good,JJ,good
live,JJ,live
example,NN,examples
laser,NN,laser
pointer,NN,pointer
big,JJ,big
picture,NN,picture
Drawing,VBG,Drawing
visualising,VBG,visualising
keeping,VBG,keeping
interaction,JJ,interaction
people,NNS,people
Class,NNP,Class
agreement,NN,agreements
Parking,NNP,Parking
lot,NN,lot
Whiteboard,NNP,Whiteboard
Active,NNP,Active
engagement,JJ,engagement
student,NN,students
class,NN,class
Keeping,NNP,Keeping
connected,VBD,connected
